Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,PSCH,PSCD,PSCA
E0,10/08/2018,Man United,Leicester,2,1,H,1,0,H,A Marriner,8,13,6,4,11,8,2,5,2,1,0,0,1.5700000000000001,3.8999999999999999,7.5,1.53,4,7.5,1.55,3.7999999999999998,7,1.5800000000000001,3.9300000000000002,7.5,1.5700000000000001,3.7999999999999998,6,1.5700000000000001,4,7,39,1.6000000000000001,1.5600000000000001,4.2000000000000002,3.9199999999999999,8.0500000000000007,7.0599999999999996,38,2.1200000000000001,2.0299999999999998,1.8500000000000001,1.79,17,-0.75,1.75,1.7,2.29,2.21,1.55,4.0700000000000003,7.6900000000000004
E0,11/08/2018,Bournemouth,Cardiff,2,0,H,1,0,H,K Friend,12,10,4,1,11,9,7,4,1,1,0,0,1.8999999999999999,3.6000000000000001,4.5,1.8999999999999999,3.3999999999999999,4.4000000000000004,1.8999999999999999,3.5,4.0999999999999996,1.8899999999999999,3.6299999999999999,4.5800000000000001,1.9099999999999999,3.5,4,1.8700000000000001,3.6000000000000001,4.75,39,1.9299999999999999,1.8799999999999999,3.71,3.5299999999999998,4.75,4.3700000000000001,38,2.0499999999999998,1.98,1.9199999999999999,1.8300000000000001,20,-0.75,2.2000000000000002,2.1299999999999999,1.8,1.75,1.8799999999999999,3.6099999999999999,4.7000000000000002
E0,11/08/2018,Fulham,Crystal Palace,0,2,A,0,1,A,M Dean,15,10,6,9,9,11,5,5,1,2,0,0,2.5,3.3999999999999999,3,2.4500000000000002,3.2999999999999998,2.9500000000000002,2.3999999999999999,3.2999999999999998,2.9500000000000002,2.5,3.46,3,2.4500000000000002,3.2999999999999998,2.7999999999999998,2.5,3.3999999999999999,3,39,2.6000000000000001,2.4700000000000002,3.4900000000000002,3.3500000000000001,3.0499999999999998,2.9199999999999999,38,2,1.95,1.96,1.8700000000000001,22,-0.25,2.1800000000000002,2.1099999999999999,1.8100000000000001,1.77,2.6200000000000001,3.3799999999999999,2.8999999999999999
E0,11/08/2018,Huddersfield,Chelsea,0,3,A,0,2,A,C Kavanagh,6,13,1,4,9,8,2,5,2,1,0,0,6.5,4,1.6100000000000001,6.25,3.8999999999999999,1.5700000000000001,6.2000000000000002,4,1.55,6.4100000000000001,4.0199999999999996,1.6200000000000001,5.7999999999999998,3.8999999999999999,1.5700000000000001,6.5,4,1.6200000000000001,38,6.8499999999999996,6.0899999999999999,4.0700000000000003,3.8999999999999999,1.6599999999999999,1.6100000000000001,37,2.0499999999999998,1.98,1.8999999999999999,1.8400000000000001,23,1,1.8400000000000001,1.8,2.1299999999999999,2.0600000000000001,7.2400000000000002,3.9500000000000002,1.5800000000000001
E0,11/08/2018,Newcastle,Tottenham,1,2,A,1,2,A,M Atkinson,15,15,2,5,11,12,3,5,2,2,0,0,3.8999999999999999,3.5,2.04,3.7999999999999998,3.5,2,3.7000000000000002,3.3500000000000001,2.0499999999999998,3.8300000000000001,3.5699999999999998,2.0800000000000001,3.7999999999999998,3.2000000000000002,2.0499999999999998,3.8999999999999999,3.3999999999999999,2.1000000000000001,39,4.0099999999999998,3.8300000000000001,3.5699999999999998,3.3999999999999999,2.1200000000000001,2.0499999999999998,38,2.1000000000000001,2.0099999999999998,1.8799999999999999,1.8100000000000001,20,0.25,2.2000000000000002,2.1200000000000001,1.8,1.76,4.7400000000000002,3.5299999999999998,1.8899999999999999
E0,11/08/2018,Watford,Brighton,2,0,H,1,0,H,J Moss,19,6,5,0,10,16,8,2,2,2,0,0,2.3700000000000001,3.2000000000000002,3.3999999999999999,2.3500000000000001,3.1000000000000001,3.2999999999999998,2.2000000000000002,3.2999999999999998,3.3999999999999999,2.4300000000000002,3.2200000000000002,3.3300000000000001,2.3799999999999999,3,3.2999999999999998,2.3999999999999999,3.2000000000000002,3.3999999999999999,39,2.48,2.3599999999999999,3.2999999999999998,3.1400000000000001,3.4199999999999999,3.3100000000000001,37,2.46,2.3500000000000001,1.6699999999999999,1.5900000000000001,22,-0.25,2.0699999999999998,2.0099999999999998,1.8999999999999999,1.8600000000000001,2.5800000000000001,3.0800000000000001,3.2200000000000002
E0,11/08/2018,Wolves,Everton,2,2,D,1,1,D,C Pawson,11,6,4,5,8,7,3,6,0,1,0,1,2.3700000000000001,3.2999999999999998,3.2999999999999998,2.3500000000000001,3.2000000000000002,3.2000000000000002,2.25,3.3500000000000001,3.2000000000000002,2.3599999999999999,3.3999999999999999,3.2799999999999998,2.2999999999999998,3.2000000000000002,3.2000000000000002,2.3799999999999999,3.2999999999999998,3.2999999999999998,38,2.4100000000000001,2.3300000000000001,3.3999999999999999,3.27,3.3999999999999999,3.23,36,2.2000000000000002,2.0899999999999999,1.8300000000000001,1.75,22,-0.25,2.04,1.98,1.9199999999999999,1.8799999999999999,2.4399999999999999,3.23,3.3199999999999998
E0,12/08/2018,Arsenal,Man City,0,2,A,0,1,A,M Oliver,9,17,3,8,11,14,2,9,2,2,0,0,4,3.7999999999999998,1.95,3.7000000000000002,3.75,1.95,3.6000000000000001,3.6000000000000001,2,4,3.9700000000000002,1.9299999999999999,3.7999999999999998,3.7999999999999998,1.9099999999999999,3.8999999999999999,4,1.9099999999999999,39,4.1500000000000004,3.8300000000000001,4,3.7999999999999998,2,1.9199999999999999,36,1.6000000000000001,1.55,2.5499999999999998,2.4199999999999999,20,0.75,1.78,1.74,2.21,2.1499999999999999,4.4299999999999997,4.1299999999999999,1.8100000000000001
E0,12/08/2018,Liverpool,West Ham,4,0,H,2,0,H,A Taylor,18,5,8,2,14,9,5,4,1,2,0,0,1.25,6.5,14,1.2,6.75,14,1.25,6.0999999999999996,11,1.27,6.3499999999999996,13.25,1.25,5.5,12,1.25,6.5,13,38,1.29,1.25,6.79,6.2199999999999998,15,12.300000000000001,33,1.49,1.4399999999999999,2.8799999999999999,2.7200000000000002,21,-1.75,1.95,1.8999999999999999,2.0600000000000001,1.97,1.25,6.9500000000000002,12
E0,12/08/2018,Southampton,Burnley,0,0,D,0,0,D,G Scott,18,16,3,6,10,9,8,5,0,1,0,0,1.8500000000000001,3.5,5,1.8,3.5,4.75,1.8,3.6000000000000001,4.5,1.8600000000000001,3.5099999999999998,4.9900000000000002,1.8300000000000001,3.25,4.7999999999999998,1.8500000000000001,3.3999999999999999,5.2000000000000002,39,1.8999999999999999,1.8400000000000001,3.6099999999999999,3.4300000000000002,5.2000000000000002,4.7999999999999998,37,2.4500000000000002,2.3399999999999999,1.6699999999999999,1.6000000000000001,20,-0.75,2.1899999999999999,2.1099999999999999,1.8200000000000001,1.76,2.0299999999999998,3.1899999999999999,4.6500000000000004
E0,18/08/2018,Cardiff,Newcastle,0,0,D,0,0,D,C Pawson,12,12,1,6,14,16,5,5,2,2,0,1,3.25,3.1000000000000001,2.54,3.1000000000000001,3.1000000000000001,2.4500000000000002,2.8999999999999999,3.2000000000000002,2.5,3.25,3.1200000000000001,2.54,3.1000000000000001,3,2.4500000000000002,3.25,3.1000000000000001,2.5499999999999998,41,3.25,3.1400000000000001,3.21,3.0699999999999998,2.6000000000000001,2.5,38,2.6099999999999999,2.48,1.5800000000000001,1.53,21,0.25,1.8200000000000001,1.78,2.1499999999999999,2.1099999999999999,3.27,3.21,2.4700000000000002
E0,18/08/2018,Chelsea,Arsenal,3,2,H,2,2,D,M Atkinson,24,15,11,6,12,9,5,1,0,2,0,0,1.8,4,4.5,1.78,3.7999999999999998,4.5,1.8,3.7999999999999998,4.2000000000000002,1.8300000000000001,3.9700000000000002,4.46,1.8300000000000001,3.75,4,1.8,4,4.5,41,1.8700000000000001,1.8100000000000001,4.0199999999999996,3.8500000000000001,4.54,4.29,39,1.75,1.6799999999999999,2.25,2.1699999999999999,21,-0.75,2.0800000000000001,2.0299999999999998,1.8799999999999999,1.8400000000000001,1.8300000000000001,3.8399999999999999,4.6399999999999997
E0,18/08/2018,Everton,Southampton,2,1,H,2,0,H,L Mason,13,15,7,4,8,20,2,5,0,5,0,0,1.8999999999999999,3.5,4.75,1.9099999999999999,3.2999999999999998,4.5,2,3.25,4,1.8899999999999999,3.5600000000000001,4.71,1.9099999999999999,3.3999999999999999,4,1.9099999999999999,3.5,4.5999999999999996,40,2,1.8899999999999999,3.6299999999999999,3.4399999999999999,4.7800000000000002,4.4100000000000001,38,2.25,2.1499999999999999,1.77,1.7,20,-0.75,2.25,2.1600000000000001,1.77,1.73,1.8400000000000001,3.6299999999999999,4.9199999999999999
E0,18/08/2018,Leicester,Wolves,2,0,H,2,0,H,M Dean,6,11,2,3,10,8,1,9,2,1,1,0,2.04,3.5,3.8999999999999999,2,3.5,3.7999999999999998,2.1000000000000001,3.2999999999999998,3.6000000000000001,2.0499999999999998,3.5600000000000001,3.8999999999999999,2.0499999999999998,3.3999999999999999,3.6000000000000001,2.0499999999999998,3.5,4,41,2.1200000000000001,2.0499999999999998,3.6099999999999999,3.4399999999999999,4,3.77,39,2.1000000000000001,2.0299999999999998,1.8600000000000001,1.78,21,-0.25,1.8,1.76,2.21,2.1299999999999999,2.1400000000000001,3.4100000000000001,3.8100000000000001
E0,18/08/2018,Tottenham,Fulham,3,1,H,1,0,H,A Taylor,25,10,11,3,9,5,5,2,0,0,0,0,1.28,6,12,1.28,6,10,1.27,6,10,1.28,6.29,12.44,1.25,6,10,1.29,6,12,41,1.3100000000000001,1.28,6.5,5.8799999999999999,12.609999999999999,10.92,38,1.5600000000000001,1.51,2.6699999999999999,2.54,21,-1.75,2.0600000000000001,2,1.9099999999999999,1.8600000000000001,1.27,6.5,11.960000000000001
E0,18/08/2018,West Ham,Bournemouth,1,2,A,1,0,H,S Attwell,11,12,5,5,14,10,6,4,6,2,0,0,2.1000000000000001,3.6000000000000001,3.7000000000000002,2.1000000000000001,3.2999999999999998,3.75,2.0499999999999998,3.5499999999999998,3.5499999999999998,2.0899999999999999,3.6499999999999999,3.6899999999999999,2.0499999999999998,3.6000000000000001,3.3999999999999999,2.1000000000000001,3.6000000000000001,3.7000000000000002,41,2.1499999999999999,2.0800000000000001,3.6699999999999999,3.5299999999999998,3.75,3.5600000000000001,40,1.8500000000000001,1.78,2.1400000000000001,2.04,22,-0.25,1.8400000000000001,1.79,2.1299999999999999,2.0800000000000001,2.1000000000000001,3.6000000000000001,3.7400000000000002
E0,19/08/2018,Brighton,Man United,3,2,H,3,1,H,K Friend,6,9,3,3,16,13,3,5,1,1,0,0,5.5,3.6000000000000001,1.75,5.5,3.6000000000000001,1.7,5.0999999999999996,3.5,1.75,5.3700000000000001,3.5600000000000001,1.8100000000000001,4.7999999999999998,3.6000000000000001,1.75,5.5,3.6000000000000001,1.75,42,5.5199999999999996,5.1900000000000004,3.6200000000000001,3.5299999999999998,1.8400000000000001,1.76,39,2.3500000000000001,2.2599999999999998,1.7,1.6399999999999999,22,1,1.6200000000000001,1.5800000000000001,2.54,2.4399999999999999,5.9000000000000004,3.7000000000000002,1.71
E0,19/08/2018,Burnley,Watford,1,3,A,1,1,D,P Tierney,8,9,3,6,8,19,5,2,1,2,0,0,2.4500000000000002,3.1000000000000001,3.3999999999999999,2.3999999999999999,3.1000000000000001,3.2000000000000002,2.3999999999999999,3.1000000000000001,3.1499999999999999,2.4700000000000002,3.0800000000000001,3.3700000000000001,2.3799999999999999,3,3.25,2.3999999999999999,3.1000000000000001,3.5,42,2.5,2.3900000000000001,3.1800000000000002,3.04,3.5,3.3399999999999999,38,2.75,2.5899999999999999,1.54,1.49,22,-0.25,2.1000000000000001,2.02,1.9099999999999999,1.8600000000000001,2.48,3.1099999999999999,3.3599999999999999
