HomeTeam,AwayTeam,FTHG,FTAG,HST,AST,HC,AC,B365>2.5,B365<2.5,Season,P>2.5,P<2.5,RATING_H_DEF,RATING_H_OFF,RATING_A_DEF,RATING_A_OFF
Liverpool,Norwich,4,1,7,5,11,2,1.4,3.0,2019-20,0.6159753019181259,0.3840246980818741,1.599066,4.111884,1.487934,3.826116
West Ham,Man City,0,5,3,9,1,1,1.44,2.75,2019-20,0.5976026683180422,0.4023973316819578,2.28438,0.913752,2.12562,0.850248
Bournemouth,Sheffield United,1,1,3,3,3,4,1.9,1.9,2019-20,0.43607543130055043,0.5639245686994496,1.599066,1.370628,1.487934,1.275372
Burnley,Southampton,3,0,4,3,2,7,2.1,1.72,2019-20,0.388964574266563,0.6110354257334369,2.28438,1.370628,2.12562,1.275372
Crystal Palace,Everton,0,0,2,3,6,2,2.2,1.66,2019-20,0.3691926719354566,0.6308073280645434,1.14219,1.827504,1.06281,1.700496
Watford,Brighton,0,3,3,3,5,2,2.1,1.72,2019-20,0.388964574266563,0.6110354257334369,1.14219,1.827504,1.06281,1.700496
Tottenham,Aston Villa,3,1,7,4,14,0,1.66,2.2,2019-20,0.5095620870292882,0.4904379129707118,0.913752,4.797198,0.850248,4.463802
Leicester,Wolves,0,0,1,2,12,3,2.2,1.66,2019-20,0.3691926719354566,0.6308073280645434,1.14219,2.969694,1.06281,2.763306
Newcastle,Arsenal,0,1,2,2,5,3,1.8,2.0,2019-20,0.46415880058507875,0.5358411994149213,1.14219,1.599066,1.06281,1.487934
Man United,Chelsea,4,0,5,7,3,5,2.0,1.8,2019-20,0.4111411319086854,0.5888588680913146,2.741256,1.827504,2.550744,1.700496
Arsenal,Burnley,2,1,9,5,10,7,1.57,2.37,2019-20,0.5561521659118167,0.4438478340881833,4.104976368276,5.260497066216,3.6410642132760005,4.67874318618
Aston Villa,Bournemouth,1,2,7,4,10,5,1.8,2.0,2019-20,0.48244182025772836,0.5175581797422717,6.438446533764001,4.272069354336001,5.4753620687639994,4.149884768022
Brighton,West Ham,1,1,4,3,8,6,1.9,1.9,2019-20,0.44878846257181065,0.5512115374281894,3.683847046824,3.638865046824,3.228505726824,3.1908091861799996
Everton,Watford,1,0,2,2,4,7,1.72,2.1,2019-20,0.5015934839829934,0.4984065160170066,3.586732570512,2.268237046824,3.131391250512,2.03683028157
Norwich,Newcastle,3,1,8,3,7,5,1.9,1.9,2019-20,0.453731224915258,0.5462687750847419,5.53884759351,4.529773733688,4.70881062351,4.303028832354
Southampton,Liverpool,1,2,3,6,5,9,1.66,2.2,2019-20,0.5289825978047996,0.4710174021952004,4.283319498948,3.848382287568,3.8108365089480003,3.296248420374
Man City,Tottenham,2,2,10,2,13,2,1.53,2.5,2019-20,0.5770785647298073,0.42292143527019266,1.26641076093,7.320084326351999,1.04667810093,6.557514277608
Sheffield United,Crystal Palace,1,0,3,4,8,4,2.3,1.61,2019-20,0.3629221776996498,0.6370778223003501,2.927039689728,3.8868139663920003,2.5656886997279997,3.4527808323540006
Chelsea,Leicester,1,1,5,3,4,5,1.9,1.9,2019-20,0.45403935408980334,0.5459606459101967,3.236901475122,4.462943129568,2.797436155122,3.910508209314
Wolves,Man United,1,1,2,2,4,6,2.1,1.72,2019-20,0.406327743822643,0.5936722561773571,4.436431772472,2.155406949864,3.801680627472,1.866879948024
Aston Villa,Everton,2,0,3,1,0,6,1.72,2.1,2019-20,0.5227010022794418,0.47729899772055817,7.069474891193367,3.844041484620942,6.140298611160191,3.965315340665268
Norwich,Chelsea,2,3,5,8,1,8,1.53,2.5,2019-20,0.5940787421774512,0.40592125782254884,8.114559623067246,4.845179866993202,7.135019462879117,4.777049499345144
Brighton,Southampton,0,2,3,4,8,5,2.1,1.72,2019-20,0.4190958992050104,0.5809041007949896,4.942529522656112,5.367298824428699,4.389424991766404,4.734633315395911
Man United,Crystal Palace,1,2,3,3,8,1,1.72,2.1,2019-20,0.517194188104802,0.482805811895198,3.86980704703854,4.995855137209157,3.514682455327044,4.4718243530223685
Sheffield United,Leicester,1,2,3,2,7,4,2.3,1.61,2019-20,0.3778075762062108,0.6221924237937893,3.5203455135785062,5.43419556437044,3.104639445465379,4.909757174863659
Watford,West Ham,1,3,3,10,8,7,1.72,2.1,2019-20,0.5165022143231434,0.48349778567685664,5.665928412516106,5.471147242756564,5.144089439271587,4.617063836316823
Liverpool,Arsenal,3,1,5,3,6,4,1.44,2.75,2019-20,0.6350068988739065,0.3649931011260935,3.771252086053243,8.506939071462693,3.365414562071704,7.503189959148713
Bournemouth,Man City,1,3,7,5,4,5,1.36,3.2,2019-20,0.6661755089540968,0.33382449104590317,6.340093551497944,4.544589694983332,5.47799195551113,4.368626891848109
Tottenham,Newcastle,0,1,2,3,6,6,1.53,2.5,2019-20,0.5956283953754641,0.4043716046245359,7.179538697684646,5.7526267267186535,6.174331116715875,5.4434515389507
Wolves,Burnley,1,1,2,4,4,3,2.3,1.61,2019-20,0.3835675466136386,0.6164324533863614,5.145925578636244,2.8456223638682596,4.465051029268547,2.254776423317283
Southampton,Man United,1,1,2,8,2,3,1.9,1.9,2019-20,0.47632316859123935,0.5236768314087606,7.313915379672859,4.895740738088739,6.5371662891217905,4.357774668317127
Chelsea,Sheffield United,2,2,5,2,3,4,1.72,2.1,2019-20,0.5295322264511143,0.4704677735488857,4.133436765315437,7.867090520428829,3.630498227569678,6.812132372872448
Crystal Palace,Aston Villa,1,0,5,2,13,2,1.9,1.9,2019-20,0.47584272718924187,0.5241572728107582,5.185711581496701,6.735905905692928,4.548569032092748,5.84377349833417
Leicester,Bournemouth,3,1,5,2,4,5,1.66,2.2,2019-20,0.5505370024953526,0.44946299750464735,5.045568747273098,6.02338415246121,4.480785818524134,5.164110983113871
Man City,Brighton,4,0,6,2,8,1,1.3,3.5,2019-20,0.7035721303304195,0.29642786966958046,3.190107834815644,10.222293214083566,2.6386757879783276,9.01903630162293
Newcastle,Watford,1,1,5,3,6,5,2.0,1.8,2019-20,0.45185544374132036,0.5481445562586796,5.936111921693156,5.656007768208604,5.163490178114749,4.7905764134170274
West Ham,Norwich,2,0,8,3,8,2,1.44,2.75,2019-20,0.6465774543510449,0.35342254564895514,6.298140785839786,8.635017428535539,5.588700000271029,7.230202787992463
Burnley,Liverpool,0,3,2,7,6,4,1.61,2.3,2019-20,0.5755067295959184,0.4244932704040816,7.7610621742922605,5.317294169956156,6.8164181578815795,4.843715178655741
Everton,Wolves,3,2,6,5,7,7,2.2,1.66,2019-20,0.39671072750662717,0.6032892724933728,5.460372904120465,5.310173406456952,4.933774636839195,4.524496753081941
Arsenal,Tottenham,2,2,8,9,11,6,1.57,2.37,2019-20,0.5913276981780163,0.40867230182198366,7.602780931914258,9.09596537494182,6.898626792477129,8.010275999157779
Liverpool,Newcastle,3,1,9,1,10,1,1.4,3.0,2019-20,0.6638773427914572,0.33612265720854284,4.060142563716104,12.198835464416383,3.597085270797084,10.78487252823131
Brighton,Burnley,1,1,5,1,3,6,2.1,1.72,2019-20,0.4378513697186931,0.5621486302813069,7.014779300308779,5.654936111014422,6.281322763823667,4.915236774959029
Man United,Leicester,1,0,5,3,3,9,1.9,1.9,2019-20,0.47873252889193874,0.5212674711080613,5.4662607922070166,7.112843464188647,5.060581989493492,6.178850069643193
Sheffield United,Southampton,0,1,4,7,12,6,2.1,1.72,2019-20,0.43245682788864437,0.5675431721113556,6.154952785199455,8.391765137982695,5.614218211106323,7.3063077070582505
Tottenham,Crystal Palace,4,0,5,6,4,3,1.61,2.3,2019-20,0.5880236755970919,0.4119763244029081,10.424777020279876,8.239832736473366,9.057302450423254,7.9166009344886765
Wolves,Chelsea,2,5,4,6,7,5,1.9,1.9,2019-20,0.48507872918423345,0.5149212708157666,8.214613838887415,6.266353995409631,7.165772796953339,5.53711176977969
Norwich,Man City,3,2,3,8,3,16,1.22,4.33,2019-20,0.7524983940357283,0.24750160596427173,13.530707801537293,4.57377947165189,12.123504742165695,5.098500629532397
Bournemouth,Everton,3,1,6,5,7,7,1.72,2.1,2019-20,0.5359792847905623,0.46402071520943766,8.560534813989786,6.877892751145919,7.599950370038344,6.544360696366151
Watford,Arsenal,2,2,7,4,7,1,1.57,2.37,2019-20,0.6024566892480866,0.3975433107519134,6.561582602852226,7.952445558369787,5.879835426445226,6.837075461612148
Aston Villa,West Ham,0,0,5,1,2,4,1.61,2.3,2019-20,0.5853590161067731,0.4146409838932269,9.314207529365953,3.9533944381579853,7.995407374060788,4.2477169573376
Southampton,Bournemouth,1,3,6,3,4,5,1.66,2.2,2019-20,0.5739233329805743,0.4260766670194257,9.591059036528389,7.514725391433154,8.597315682277996,6.654028828159154
Leicester,Tottenham,2,1,7,4,8,2,1.8,2.0,2019-20,0.5289546011271277,0.47104539887287233,5.424398207309734,9.741639941466431,4.925810708103138,8.028279342497775
Burnley,Norwich,2,0,6,2,7,3,1.66,2.2,2019-20,0.5736071387107975,0.4263928612892025,7.773501980499016,7.138158899213475,7.080393075276813,5.867611402650773
Everton,Sheffield United,0,2,3,1,12,3,2.0,1.8,2019-20,0.4683312286644148,0.5316687713355852,6.567368492294322,8.721887403150072,5.796770140578282,7.665791014475907
Man City,Watford,8,0,11,4,5,4,1.25,4.0,2019-20,0.7433915269396074,0.2566084730603926,4.306138113096857,15.450049479416883,3.6288461758099664,13.300712741857062
Newcastle,Brighton,0,0,4,3,5,3,2.3,1.61,2019-20,0.4014716339685857,0.5985283660314142,8.509037553074592,5.565090590658693,7.459306302797216,4.965481826937557
Crystal Palace,Wolves,1,1,4,4,6,7,2.37,1.57,2019-20,0.39142927924755644,0.6085707207524436,6.9803883256042525,7.928579462363646,6.277393575933777,6.647826324050989
West Ham,Man United,2,0,6,3,3,7,1.66,2.2,2019-20,0.5640570887015447,0.4359429112984553,7.579101827292632,8.21486745238601,6.768234325463851,7.141591402079229
Arsenal,Aston Villa,3,2,6,9,9,4,1.44,2.75,2019-20,0.6562708774963213,0.3437291225036787,10.7493775534021,9.916254852293656,9.910260695245302,8.901768796910192
Chelsea,Liverpool,1,2,2,3,6,4,1.57,2.37,2019-20,0.6038449847763382,0.3961550152236618,5.409841555253075,9.060500081553151,4.698429345018379,8.05213117231918
Sheffield United,Liverpool,0,1,2,4,6,5,1.61,2.3,2019-20,0.5915162725283846,0.40848372747161543,8.139479804284493,7.662605531849465,7.322013862257027,7.172929841077245
Aston Villa,Burnley,2,2,3,3,7,3,1.9,1.9,2019-20,0.49915734918138244,0.5008426508186176,10.273386406414405,6.173410444513194,8.942872264860686,6.19236124659837
Bournemouth,West Ham,2,2,5,6,6,6,1.57,2.37,2019-20,0.6059276180316038,0.3940723819683962,9.986369566553295,7.729120790504201,9.027409592130109,7.367989791183979
Chelsea,Brighton,2,0,10,1,5,2,1.66,2.2,2019-20,0.5653288202705241,0.4346711797294759,4.933977729409185,10.915538921379577,4.251877366089448,9.561040880375907
Crystal Palace,Norwich,2,0,3,3,5,5,1.72,2.1,2019-20,0.5570008617148885,0.4429991382851115,7.464837054593727,8.133491427902353,6.848559304442048,6.115439282037526
Tottenham,Southampton,2,1,4,6,6,6,1.57,2.37,2019-20,0.6159454561310119,0.3840545438689881,12.486734346968028,8.246727045890907,11.108135720317856,8.047832931616838
